Matti,Sundström,Asikkala
Seppo,Ylläsjärvi,Humppila
Heikki,Varpenius,Tervola
Miro,Suni,Oulu
Pekka,Markkula,Kerava
Laila,Kettunen,Tampere
Laura,Granfors,Jyväskylä
Tiia,Karhunen,Espoo
Jean,Alakoski,Espoo
Juha,Lassila,Vantaa
Raimo,Aitola,Savonlinna
Hannu,Keskitalo,Närpiö
Ville,Kantelinen,Vaasa
Kaisu,Pakkala,Mikkeli
Vesa-Matti,Nieminen,Espoo
Virpi,Korhonen,Porvoo
Pentti,Määttä,Helsinki
Santra,Heikkilä,Sodankylä
Marja-Liisa,Lehtola,Helsinki
Henna,Pirttinen,Kuopio
Sirpa,Schulze,Juva
Erkki,Härmä,Keminmaa
Mikko,Syrjä,Pori
Jali,Salo,Vantaa
Per-Anders,von Zweygbergk,Ähtäri
Sampo,Merontausta,Helsinki
Markus,Lipponen,Vieremä
Sauli,Haataja,Laitila
Sannamaria,Moilanen,Salo
Sanna,Mustajoki,Keminmaa
Joona,Klaavo,Helsinki
Wiljam,Salo,Padasjoki
Bruno,Helisten,Kouvola
Asko,Jokinen,Kuopio
Hayden,Kettunen,Luumäki
Maria,Honkala,Jyväskylä
Eija,Dang,Helsinki
Tomi,Nikulainen,Helsinki
Kimmo,Rintala,Järvenpää
Niko,Keskilä,Pietarsaari
Tommi,Ahonen,Helsinki
Anne,Miettinen,Kurikka
Eino,Helsingius,Tuusula
Milja,Piiroinen,Kaarina
Irma,Simola,Jyväskylä
Jetro,Mörk,Kempele
Juha,Erkkilä,Puumala
Taina,Johansson,Espoo
Valbone,Morén,Helsinki
Anna,Pyrrö,Tampere
Silja,Hedström,Porvoo
Kalle,Santala,Helsinki
Risto,Peltonen,Rääkkylä
Kirsi,Rytilahti,Pori
Kimmo,Harkko,Kouvola
Matti,Kunttu,Kankaanpää
Marita,Lehtinen,Helsinki
Rauni,Pesonen,Uusikaarlepyy
Patrik,Ahti,Savonlinna
Jaana,Ruuskanen,Hyvinkää
Raimo,Hertteli,Jyväskylä
Minea,Peltonen,Helsinki
Eeva,Moisio,Helsinki
Teemu,Lundberg,Lahti
Mikko,Tuomiranta,Kotka
Mateus,Enqvist,Kouvola
Mika,Heikura,Seinäjoki
Armas,Rantanen,Helsinki
Joonas,Forsman,Lohja
Frans,Kinnunen,Turku
Ahti,Järvi,Jyväskylä
Elli,Andersson,Varkaus
Auli,Korpela,Salo
Maria,Taavitsainen,Ypäjä
Helka,Repo,Imatra
Antti,Hanhiniemi,Turku
Neera,Auvinen,Oulu
Mirja,Juvonen,Isojoki
Kari,Moilanen,Lappeenranta
Teija,Suurnäkki,Helsinki
Mauno,Anttila,Helsinki
Elmo,Jokinen,Tornio
Laura,Ilomäki,Mikkeli
Jimi,Puuronen,Oulu
Suvi,Raumanni,Helsinki
Leena,Korpela,Vesilahti
Mikko,Heikola,Helsinki
Sirkka,Aavanen,Sipoo
Irma,Müller,Oulu
Olli,Hujanen,Hyvinkää
Lumi,Nieminen,Ylöjärvi
Veera,Heinonen,Helsinki
Jesse,Lankinen,Helsinki
Aleksanteri,Nousiainen,Joensuu
Lukas,Kerminen,Helsinki
Salla,Siitari,Helsinki
Kari,Ylipaavalniemi,Helsinki
Raija,Mattila,Espoo
Henna,Sipilä,Valkeakoski
Jaakko,Yli-Rajala,Laitila
Elmo,Ekström,Espoo
Pyry,Järvelin,Kaustinen
Airi,Santanen,Sipoo
Erja,Marjanen,Vaasa
Hellä,Kurki-Suonio,Keuruu
Nina,Kuparinen,Helsinki
Anita,Kujala,Siuntio
Jouko,Limnell,Kuopio
Hannu,Korpisalo,Helsinki
Laura,Kaiponen,Espoo
Jussi,Sipilä,Raisio
